slug,name_display,source_format,original_preserved,raw_path,thumb_path,normalized_path,hires_path,output_format,status,notes
lunge,Lunge,png,yes,assets/exercises/Lunge.png,assets/exercises/thumbs/lunge.webp,assets/exercises/normalized/lunge.webp,assets/exercises/hires/lunge.webp,webp,ok,114KB → norm: 11KB (-91%)
lying-leg-curl,Lying Leg Curl,png,yes,assets/exercises/Lying Leg Curl.png,assets/exercises/thumbs/lying-leg-curl.webp,assets/exercises/normalized/lying-leg-curl.webp,assets/exercises/hires/lying-leg-curl.webp,webp,ok,1106KB → norm: 30KB (-97%)
machine-chest-press,Machine Chest Press,png,yes,assets/exercises/Machine Chest Press.png,assets/exercises/thumbs/machine-chest-press.webp,assets/exercises/normalized/machine-chest-press.webp,assets/exercises/hires/machine-chest-press.webp,webp,ok,1246KB → norm: 38KB (-97%)
medicine-ball-slam,Medicine Ball Slam,png,yes,assets/exercises/Medicine Ball Slam.png,assets/exercises/thumbs/medicine-ball-slam.webp,assets/exercises/normalized/medicine-ball-slam.webp,assets/exercises/hires/medicine-ball-slam.webp,webp,ok,946KB → norm: 28KB (-97%)
mountain-climbers,Mountain Climbers,png,yes,assets/exercises/Mountain Climbers.png,assets/exercises/thumbs/mountain-climbers.webp,assets/exercises/normalized/mountain-climbers.webp,assets/exercises/hires/mountain-climbers.webp,webp,ok,184KB → norm: 25KB (-86%)
neck-side-stretch,Neck Side Stretch,png,yes,assets/exercises/Neck Side Stretch.png,assets/exercises/thumbs/neck-side-stretch.webp,assets/exercises/normalized/neck-side-stretch.webp,assets/exercises/hires/neck-side-stretch.webp,webp,ok,170KB → norm: 15KB (-91%)
overhead-press,Overhead Press,png,yes,assets/exercises/Overhead Press.png,assets/exercises/thumbs/overhead-press.webp,assets/exercises/normalized/overhead-press.webp,assets/exercises/hires/overhead-press.webp,webp,ok,2039KB → norm: 167KB (-92%)
overhead-triceps-extension,Overhead Triceps Extension,png,yes,assets/exercises/Overhead Triceps Extension.png,assets/exercises/thumbs/overhead-triceps-extension.webp,assets/exercises/normalized/overhead-triceps-extension.webp,assets/exercises/hires/overhead-triceps-extension.webp,webp,ok,793KB → norm: 25KB (-97%)
pigeon-pose,Pigeon Pose,png,yes,assets/exercises/Pigeon Pose.png,assets/exercises/thumbs/pigeon-pose.webp,assets/exercises/normalized/pigeon-pose.webp,assets/exercises/hires/pigeon-pose.webp,webp,ok,140KB → norm: 12KB (-91%)
pike-push-up,Pike Push-Up,png,yes,assets/exercises/Pike Push-Up.png,assets/exercises/thumbs/pike-push-up.webp,assets/exercises/normalized/pike-push-up.webp,assets/exercises/hires/pike-push-up.webp,webp,ok,273KB → norm: 24KB (-91%)
pistol-squat,Pistol Squat,png,yes,assets/exercises/Pistol Squat.png,assets/exercises/thumbs/pistol-squat.webp,assets/exercises/normalized/pistol-squat.webp,assets/exercises/hires/pistol-squat.webp,webp,ok,4709KB → norm: 144KB (-97%)
plank-shoulder-tap,Plank Shoulder Tap,png,yes,assets/exercises/Plank Shoulder Tap.png,assets/exercises/thumbs/plank-shoulder-tap.webp,assets/exercises/normalized/plank-shoulder-tap.webp,assets/exercises/hires/plank-shoulder-tap.webp,webp,ok,99KB → norm: 16KB (-84%)
plank,Plank,png,yes,assets/exercises/Plank.png,assets/exercises/thumbs/plank.webp,assets/exercises/normalized/plank.webp,assets/exercises/hires/plank.webp,webp,ok,199KB → norm: 20KB (-90%)
preacher-curl,Preacher Curl,png,yes,assets/exercises/Preacher Curl.png,assets/exercises/thumbs/preacher-curl.webp,assets/exercises/normalized/preacher-curl.webp,assets/exercises/hires/preacher-curl.webp,webp,ok,1802KB → norm: 341KB (-81%)
pseudo-planche-push-up,Pseudo Planche Push-Up,png,yes,assets/exercises/Pseudo Planche Push-Up.png,assets/exercises/thumbs/pseudo-planche-push-up.webp,assets/exercises/normalized/pseudo-planche-push-up.webp,assets/exercises/hires/pseudo-planche-push-up.webp,webp,ok,875KB → norm: 20KB (-98%)
pull-up,Pull-Up,png,yes,assets/exercises/Pull-Up.png,assets/exercises/thumbs/pull-up.webp,assets/exercises/normalized/pull-up.webp,assets/exercises/hires/pull-up.webp,webp,ok,1515KB → norm: 274KB (-82%)
push-up,Push-Up,png,yes,assets/exercises/Push-Up.png,assets/exercises/thumbs/push-up.webp,assets/exercises/normalized/push-up.webp,assets/exercises/hires/push-up.webp,webp,ok,163KB → norm: 16KB (-90%)
